task_prompt	task_label	model
restaurantPromptRoberta	emotion	Roberta
recastfactualityPromptRoberta	nli	Roberta
recastsentimentPromptRoberta	nli	Roberta
squinkyformalityPromptRoberta	diseval	Roberta
persuasivenessrelevancePromptRoberta	diseval	Roberta
ethicscommonsensePromptRoberta	accept	Roberta
IMDBPromptRoberta	emotion	Roberta
SST2PromptRoberta	emotion	Roberta
recastpunsPromptRoberta	nli	Roberta
emobankdominancePromptRoberta	emotion	Roberta
snliPromptRoberta	nli	Roberta
emobankarousalPromptRoberta	emotion	Roberta
QQPPromptRoberta	sentence_sim	Roberta
STSBPromptRoberta	other	Roberta
tweetevalsentimentPromptRoberta	emotion	Roberta
WNLIPromptRoberta	nli	Roberta
squinkyimplicaturePromptRoberta	diseval	Roberta
persuasivenessspecificityPromptRoberta	diseval	Roberta
RTEPromptRoberta	nli	Roberta
ethicsdeontologyPromptRoberta	accept	Roberta
QNLIPromptRoberta	nli	Roberta
ethicsjusticePromptRoberta	accept	Roberta
anliPromptRoberta	nli	Roberta
recastverbnetPromptRoberta	nli	Roberta
recastmegaveridicalityPromptRoberta	nli	Roberta
ethicsvirtuePromptRoberta	accept	Roberta
recastnerPromptRoberta	nli	Roberta
movierationalesPromptRoberta	emotion	Roberta
laptopPromptRoberta	emotion	Roberta
recastverbcornerPromptRoberta	nli	Roberta
MNLIPromptRoberta	nli	Roberta
MRPCPromptRoberta	sentence_sim	Roberta
