task_prompt	task_label	model
snliPromptBert	nli	Bert
squinkyformalityPromptBert	diseval	Bert
WNLIPromptBert	nli	Bert
tweetevalsentimentPromptBert	emotion	Bert
MNLIPromptBert	nli	Bert
MRPCPromptBert	paraphrase_detection	Bert
emobankdominancePromptBert	emotion	Bert
restaurantPromptBert	emotion	Bert
anliPromptBert	nli	Bert
IMDBPromptBert	emotion	Bert
QQPPromptBert	acceptability	Bert
laptopPromptBert	emotion	Bert
QNLIPromptBert	nli	Bert
persuasivenessspecificityPromptBert	diseval	Bert
STSBPromptBert	other	Bert
movierationalesPromptBert	emotion	Bert
RTEPromptBert	nli	Bert
SST2PromptBert	emotion	Bert
emobankarousalPromptBert	emotion	Bert
persuasivenessrelevancePromptBert	diseval	Bert
squinkyimplicaturePromptBert	diseval	Bert
